nb_infectes_max,temps_nb_infecte_max,pente_infectes_max,temps_pente_max,nb_total_infectes,R_0,beta_f,gamma,beta_m,foyer_2,CI
8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112,0.2,0.05,0.1,1,4
8986.099385822416,371.0,70.33979505511616,285.0,19410.401819204162,1.18232465384112,0.2,0.05,0.1,1,5
9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335,0.2,0.05,0.1,2,1
9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335,0.2,0.05,0.1,2,2
9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335,0.2,0.05,0.1,2,3
9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335,0.2,0.05,0.1,2,4
9079.61033945632,363.0,72.671786398525,279.0,19405.00566358039,1.1861034998522335,0.2,0.05,0.1,2,5
15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827,0.2,0.05,0.5,0,1
15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827,0.2,0.05,0.5,0,2
15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827,0.2,0.05,0.5,0,3
15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827,0.2,0.05,0.5,0,4
15276.692406772765,115.0,423.10878456186765,85.0,20016.884639149965,1.1852347120615827,0.2,0.05,0.5,0,5
15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404,0.2,0.05,0.5,1,1
15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404,0.2,0.05,0.5,1,2
15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404,0.2,0.05,0.5,1,3
15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404,0.2,0.05,0.5,1,4
15301.258232572249,114.0,429.90569294029956,84.0,20016.877286496667,1.1816310187737404,0.2,0.05,0.5,1,5
15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131,0.2,0.05,0.5,2,1
15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131,0.2,0.05,0.5,2,2
15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131,0.2,0.05,0.5,2,3
15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131,0.2,0.05,0.5,2,4
15327.367154498617,112.0,436.01524977004374,83.0,20016.87063427659,1.1789761188095131,0.2,0.05,0.5,2,5
7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369,0.2,0.2,0.02,0,1
7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369,0.2,0.2,0.02,0,2
7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369,0.2,0.2,0.02,0,3
7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369,0.2,0.2,0.02,0,4
7.18962844891755,23.0,0.2506645351451269,1.0,17.123502380237777,0.8696079002693369,0.2,0.2,0.02,0,5
7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486,0.2,0.2,0.02,1,1
7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486,0.2,0.2,0.02,1,2
7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486,0.2,0.2,0.02,1,3
7.199955319711493,24.0,0.2506645351451269,1.0,17.318753348548373,0.8715531065297486,0.2,0.2,0.02,1,4
